Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Response,Age,Total_Spend,Total_Purchases,Total_Dependents,Total_Campaigns_Accepted,Cluster,Cluster_Label
2,0,58293.0,94,5,5,0,45,422,14,1,0,0,Deal-Seeking Parents
2,0,62513.0,16,2,6,0,59,716,20,1,0,2,High-Value
1,1,55635.0,34,4,6,0,55,590,17,1,0,0,Deal-Seeking Parents
2,0,33454.0,32,2,8,0,41,169,8,1,0,1,Budget-Conscious
2,0,30351.0,19,1,9,1,52,46,5,1,0,1,Budget-Conscious
2,0,5648.0,68,1,20,0,76,49,1,2,1,1,Budget-Conscious
1,0,51381.5,11,1,7,0,43,19,3,1,0,1,Budget-Conscious
0,0,7500.0,59,1,8,0,50,61,5,0,0,1,Budget-Conscious
1,1,63033.0,82,1,2,0,67,1102,15,0,0,2,High-Value
2,1,59354.0,53,3,6,0,74,310,12,2,0,0,Deal-Seeking Parents
1,0,17323.0,38,1,8,0,39,46,4,0,0,1,Budget-Conscious
2,1,82800.0,23,1,3,1,80,1315,25,0,2,3,Premium Loyal
1,0,41850.0,51,3,8,0,46,96,6,2,0,1,Budget-Conscious
1,0,37760.0,20,2,7,0,80,317,11,0,0,1,Budget-Conscious
2,0,76995.0,91,2,5,0,77,1782,24,1,1,2,High-Value
0,1,33812.0,86,2,6,0,41,133,6,1,0,1,Budget-Conscious
1,0,37040.0,41,1,8,0,44,316,11,0,0,1,Budget-Conscious
1,0,2447.0,42,15,1,0,47,1730,28,1,0,0,Deal-Seeking Parents
2,0,58607.0,63,3,8,0,77,972,14,1,1,0,Deal-Seeking Parents
2,0,65324.0,0,3,4,0,72,544,17,1,0,2,High-Value
1,0,40689.0,69,7,8,0,75,444,13,1,0,0,Deal-Seeking Parents
1,1,18589.0,89,2,7,0,57,75,6,0,0,1,Budget-Conscious
1,0,53359.0,4,4,7,0,50,257,10,2,0,0,Deal-Seeking Parents
1,1,51381.5,19,0,1,0,40,637,27,1,0,2,High-Value
1,0,38360.0,26,2,3,0,37,131,7,1,0,1,Budget-Conscious
2,0,84618.0,96,1,2,0,61,1672,25,0,1,2,High-Value
2,1,10979.0,34,2,5,0,37,30,6,0,0,1,Budget-Conscious
2,0,38620.0,56,1,3,0,63,318,10,0,0,2,High-Value
1,0,40548.0,31,2,5,0,56,120,7,1,1,1,Budget-Conscious
2,1,46610.0,8,6,6,1,74,302,11,2,0,0,Deal-Seeking Parents
2,0,68657.0,4,1,7,0,80,1196,17,0,0,2,High-Value
2,1,49389.0,55,1,7,0,75,65,5,2,0,1,Budget-Conscious
2,0,67353.0,37,5,2,0,56,913,23,1,0,2,High-Value
0,0,23718.0,76,3,7,0,50,81,6,1,0,1,Budget-Conscious
1,1,42429.0,99,2,5,0,53,67,5,1,0,1,Budget-Conscious
2,1,48948.0,53,2,6,1,83,902,22,0,1,3,Premium Loyal
1,0,80011.0,3,2,4,0,46,1395,19,1,0,2,High-Value
2,0,20559.0,88,2,8,0,41,53,5,1,0,1,Budget-Conscious
1,0,21994.0,4,1,5,0,69,22,3,1,0,1,Budget-Conscious
2,1,51381.5,80,1,2,0,67,186,8,0,0,2,High-Value
2,0,7500.0,19,3,5,0,51,31,5,1,0,1,Budget-Conscious
1,1,79941.0,72,1,1,0,50,984,15,0,0,2,High-Value
